,MS,lab1,lab2,lab3,lab4,lab5,lab6
239,25136,,,,,,
317,30633,cite_data,save_output,,,,
99,28784,save_output,,,,,
192,18075,,,,,,
161,30815,save_output,,,,,
186,26437,,,,,,
310,26744,cite_data,stata_packages,matlab_toolboxes,,,
258,27014,,,,,,
248,24920,,,,,,
167,27160,,,,,,
301,29948,DAS,cite_data,save_output,,,
304,26318,,,,,,
289,28787,save_output,,,,,
243,25098,cite_data,,,,,
151,29592,save_output,,,,,
99,28784,save_output,,,,,
222,27118,,,,,,
200,27258,cite_data,save_output,confidential_data,,,
264,28147,include_data,cite_data,DAS,,,
183,25632,,,,,,
170,29092,,,,,,
22,25255,DAS,cite_data,save_output,matlab_toolboxes,,
3,25632,,,,,,
208,23580,cite_data,save_output,,,,
266,26222,confidential_data,save_output,,,,
27,24618,,,,,,
192,18075,,,,,,
131,28074,DAS,cite_data,confidential_data,stata_packages,save_output,
290,27333,save_output,cite_data,stata_packages,,,
239,25136,,,,,,
297,29894,DAS,cite_data,,,,
291,25995,save_output,,,,,
90,26007,DAS,,,,,
58,28091,save_output,DAS,cite_data,,,
84,27157,DAS,save_output,,,,
255,27118,,,,,,
48,26693,confidential_data,DAS,cite_data,stata_packages,,
252,23483,forward_slash,,,,,
79,27827-1,,,,,,
265,25146,cite_data,include_data,,,,
60,28638,cite_data,stata_packages,,,,
96,29498,cite_data,,,,,
195,23594,,,,,,
131,28074,DAS,cite_data,confidential_data,stata_packages,save_output,
114,28207,cite_data,,,,,
268,26817,DAS,cite_data,include_data,save_output,,
149,29894,DAS,cite_data,,,,
62,22272,save_output,cite_data,stata_packages,,,
41,26684,,,,,,
260,26154,,,,,,
